sentimen,komentar
negative," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??"
negative,"Cuman jual goyangan yak, suara macam taik..."
negative,Kasian ih nyari uang sampe segitunya
negative,anjir tontonan yg sangat tidak bermutu!
negative,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????"
negative,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada
negative,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi"
negative,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya"
negative,S lonte ini bkn sensasi ngjak ribut org mulu sampah
negative,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..
negative,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu
negative,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??
negative,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??"
negative,bencong rombeng.menjijikan!!!gay jg.
negative,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???"
negative,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh
negative,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan"
negative,ngomong aja belepotan banyak gaya lu bencong
negative,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!
negative,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng ini…
negative,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya
negative,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA"
negative,"Manusia laknat, matinya di apain ya"
negative,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini
negative,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar
negative,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa
negative,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??
negative,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT"
negative,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??
negative,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe"
negative,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis"
negative,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen"
negative,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat
negative,Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M
negative,"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes..  <USERNAME>"
negative,"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??"
negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human"
negative,"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh"
negative," <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s"
negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human"
negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !
negative," <USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli."
negative," <USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh.."
negative,Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????
negative," <USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la"
negative," <USERNAME> gak usah sok jadi high class mba, liat komenmu sendiri, memang semua artis itu sama, beda2 mbak, ada yg suka curhat di ig, ada yg curhat ke temen ada yg curhat ke Tuhan.... ngak usah trus mulut situ maju dulu otaknya belakangan mikirnya, yg curh"
negative," <USERNAME> lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol"
negative,Ini siapa sih emg artis? Ko artis indo bukan ny ngurus prestasi malah di sosmed ny beginian mulu isi nya jd jatoh nya kampungan
negative," <USERNAME> baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini"
negative,Munafik bgt yg ngomong curhat di sosmed kampungan... Gua yakin elu juga kitu keleusss wkkwkww..... Mending mba via dia artis cantik bs nyanyi.. La elu pada? Lbh kampungan wkwkwkwkw!!!!
negative, <USERNAME>.wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan
negative,Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????
negative, <USERNAME> main main lah ke jawa timur.. Biar ga begok!!
negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !
negative," <USERNAME> dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??"
negative," <USERNAME> siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!"
negative, <USERNAME> yutub apaan ya mba? Aplikasi baru ya? Sy taunya youtube. Mba gak tau apa ya seseorg bs dpt penghasilan besar salah satunya dr youtube loh. Mreka jg di bayar apalagi klo bnyk yg ntn video mreka. Sekolah yg bener deh mba biar pinter. Generasi muda
negative,"gue suka gangerti deh yaa, kenapa kalo via vallen bikin status atau apalah itu disangkut pautin ama att mulu?? padahal att nya aja biasa aja.. Fansnya sih yg bikin jelek.. Orang kalo di sangkut pautin mulu jg lama-lama gerah kali.."
negative,Jujur aja ya ni org malah bagusan kaga oplas..ada tu foto dia sblm dn sesudah oplas..dioplas mukanya aneh...kyknya gagal oplasnya...
negative,Noraaak abiiis... Baru kebeli emas az pamer aplg mainan berlian ciiinnnnn.... ??
negative,Before and after pasca oplas ga ngefek ya.. tetep jelek n serem mukanya..ahahahhaha..
negative,"Salfok ke mukanya, sumpah jelek... Oplas apaan model begitu... Failed!!!"
negative,Norak bener. Kegaet penjahat baru rasa.
negative,"Najis..,apalagi d philipine biasa bgt kali,d sana aj bangga..jd perusak moral ko bangga..najis banget liatnya.ckp d sini aj komen ny,dia pngn ngetop lwt nitezerrre.....wkwkwk..ngarep laku"
negative,Yang gua bingung jujur kenapa media pada rebutan ngeliput ini orang. Kayaknya cuman net doang media informasi yang masih waras
negative,"Bukankah Jedun yg ga becus jadi perempuan terhormat, ga becus jadi perempuan cerdas, ga becus jadi perempuan yg mencari suami sah bukan suami orang, ga becus jadi perempuan yg menghindari narkoba, ga becus jadi perempuan yg menjaga nama baik keluarga... semoga hanya ada satu perempuan yg kayak kamu di dunia ini ya Jedun"
negative,"cewe yg bgni yg hrsnya gosong jd abu aja di kebakaran pabrik yg lg viral kmrn tu. bnr2 slain ga brguna, gda otak.. cm modal ngangkang trs gebet laki org trs bangga.. btw klo emg instastory nya buat nyindir sesebini tua mah. ehhh at least biar ga becus jd prewi tp becus cuii jd emak. buktinya anak nya bejibun trs smua pro ke emaknya drpd bapaknya"
negative,"Hahaha..kasian ya...gak becus jadi perem...harus ngerebut laki orang dulu biar dikata ""perempuan""? Dasar perempuan tak sadar diri ente cuy."
negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...
negative,"ih dia kan paling becus makrum, paling becus ngrebut suami orang hehe????"
negative,Eeee si pelacur. Situ becus jd brempuan emang? Becus jadi sampah sih iya. Edeuuuuuh lonte lonte
negative,"Biarin,,,puas puasin mumpung deseu masih brasa muda. Ntar klo dah tua juga nyaho! Karma itu ada."
negative,Dia ini punya anak perempuan lho. Ibu macam apa contohin jelek ke anaknya. Jauh dari kata BECUS ini perempuan. Amit amit...
negative,Kaya becus aja jd permpuan dia yng g becus jd perempuan ko sukanya sm laki orng heheh
negative,Yg gk becus tuh loh jedun...hidup nya cuma bisanya ngerusak kbhgiaan org lain .mau hidup serba mewah tp g mau krja mlh morotin laki org..karma psti akn mnghampirimu????????
negative,Gue gak suka sm ni orang. Idupnya kebanyakan ribut.
negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...
negative,"Yg nama ny plagiat ya plagiat, walaupun laku tp tetep ajah ciptaan dri hasil plagiat..wkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah"
negative,"Dasar plagiat semuanya, ga bisa kreatip.memalukab bgt"
negative,"Dan dengan begonya dia bilang ""apanya yang sama yaaa liriknya aja tentang percintaan gitu kok lagu saya"" bener2 tolol si ayu. Gapunya kuping apa y orang yg dipermasalahin nadanya ????????"
negative,Itu pacarnya anggel pietrs kali.... dan cowok itu juga masih bocah....  <USERNAME> yaelah jes.. terxta kelakuan mu sama aja sprti ayuting2 Hidupmu penuh dengan drama MURAHAN
negative,"japok gateeel emang,uda jelas dia ada main sama si mamad,sampe"" si jessica dimusuhin,deddy corbuzier aja jijik sama si japok semenjak nagita diundang di hitam putih berarti nagita cerita di belakang panggung,itu aja sih menurut gue"
negative, <USERNAME> lebih memalukan anda buk ...ngomong pelakor emang ibuk udah pernah jadi pelakor ya kok bisa tau ayu pelakor wkwkwkwkwk. ..awas ibu nanti malah justru rumah tangga ibu yg dimasukin pelakor atau anaknya nanti jadi pelakor ..
negative,Wah itu Kerdus mulutnya busuk...jangan jangan sampah makanannya
negative, <USERNAME> TAI loe di gedein bagus buat pupuk jngan bacot loe goblok !!! nih cewek knpa bawa2 suku ?
negative,LAH ELO ARTIS APAAN? PAPAN BLENYEK AJA BELAGU AMAT ARTIS APAAN KGA POPULER SAMA SEKALU HAHAHA
negative,ANANG MUKA NYA KAYA BABIII GITU AJA DI DEMENIN JIJIKK
negative,"Kalau ga suka sama ayu ting ting ga usah separah itu dong ngejudge nya. Punya HATI dan OTAK kan? Dia juga manusia punya kekurangan dan juga punya kelebihan dan dia juga punya perasaan. Jadi jangan seenak nya menjudge orang seperti itu, kaya udah SEMPURNA AJA LO!  <USERNAME>"
negative,"Ga pantes dipanggil ustad..org munafik ceramah sana sini org kelakuan sndr aja menzolimi istri sah nya dgn poligami diam2.kacian istri pertamanya,ga tw malu istri keduanya.. hadeh klo ada yg msh manggil dia bwt ceramah namanya bodo.."
negative,Biadab!! Klo nanti anak lo di bully.. Gue mampusin ya!!!
negative,"Dasar ANJING tuh cowok bukan org, berani sama cowok biasa one by one jangan sama yg lemah, dasar yah cowok2 jaman skrg, casing doank cowok, nyali nya lebih2 dari banci"
negative," <USERNAME> iya kasian si micin?? padahal perusahan produk micin mengiklan kan kalo masak ""tambahkan micin biar tambah sedap"" netizen menyudutkan mecin seolah semua kebodohan orang yg punya gangguan jiwa ngemil micin??#justiceformicin"
negative,Wahh jngn2 ini Vidio lama...kok bajunya norak bngtt seorang ayuu...terlihat murahaan
negative, <USERNAME> bego lo ya
negative,Editan banget itu. Ya ampun si mommy lambe kehabisan gosib ya buat si pelakor ?????????
negative,yah admin nya termasuk golongan pengonsumsi mecin dan pil pcc.. otak lu rusak min?
negative,cuma org govlok yg prcya ayu slgkuh sma rafi.buktinya rafi sma gigi skrg baek2 aja..dan ktamu ayu itu pelakor?? SUAMI Siapa yg d rebut woyy?? skrg ayu punya suami?? fikir pke otak mkanya jgn kbanyakan micin kan jdi govlok
negative, <USERNAME> hoy barisan sakit hati ?? jijikk banget.. fans billy mah ALHAMDULILLAH bgt billy putus sama manusiaa buluk ituu... itu yg ditunggu lama2 akhiry putus juga.. dan sekarang kobil jg jijik sama ni orang :v
negative,"MBA  <USERNAME> KALAU KAMU GAK NGERASA CINLOK SAMA BABANG ANTHONY TERUS KALIAN AWALNYA KETEMU DIMANA SIH? DI SINET BOY KAN? ALAH NGAKU AJAAA. BERARTI KAN MBA DUMANG CINLOK, JANGAN SOK2 BILANG GAK CINLOK ITU NAMANYA PEMBODOHAN . WAJAR DONG NETIZEN BILANG RATU CINLOK KENYATAAN EMANG YA KAN? JANGAN MARAH .... RESIKO JADI ARTIS HAHAHHAA PINTER2 YA MBA KALAU MAU CARI ALASAN HAHAHAHAHA"
negative," <USERNAME> Noh urus tu kuin lu, biar ga gatel nempel2 ama laki orng, masyarakat udh tau kali japok gundik janda gatel,udh kenyataan nya begtu KATANYA ANAK SHOLEHAH AGAMA NYA KUAT TAPI MATA KULIAH AGAMA CMA DPT 1,KATANYA AGAMA NYA KUAT TPI HAMIL DI LUAR"
negative," <USERNAME> bilang tu sama kuin lu, jangan gesek grepe ama lakik orng, ga malu apa udh hamil di luar nikah, kegatelan amat jadi janda"
negative," <USERNAME> please lo jangan bela pelakor,ini semua hukuman untuk si muljem karna uda tega recut suami sahabat sendiri,dia lagi menjalani sanksi sosialnya!! kenapa valakor mesti dibenci?? karna biar ga ada valakor"" lainnya di Indonesia,biar musnah sem"
negative,"NAJIS. INI BARU MUAKK, MENJIJIKAN, PELAKOR. JIJIK"
negative,Semoga pelakor2 kena karma dan semoga dapat karma yg meninggalkan istrinya yg bwrjuang dg dia dr nol tp setelah sukses selingkuh dan sok jd penguasa ke istri ya..
negative,Sedih ya skrg ngamen di kawinan org .. mantan istri mahhhh naik pesawat jet .. bhay pelakor n botakbego ??????
negative, <USERNAME> heeehh lo pelakornya yaaaakkk??? Ngapa lo jadi emosi??? Situuu kenal gw??? Kalo berani pake akun asli dong. Pantes pake akun bodong! Ngerebut laki orang juga diem2. ?????????? keceplosan yak pake aku bodong. Ngakak gueeee ?????????? lucu lo!
negative,Wkwkwkwk udh gak laku lagi jd nyanyi dhajatan si lonte pelakor
negative," <USERNAME> wakakak banyak lah cerita kyk gituu, buat pembelajaran aja.. jgn sampe ni swamik swamik lebih milih ke pelakor drpd istri pertama. Bakalan hancuuurr bookk ga bohong deh. Bakalan kere bakalan kismin bakalan nyungsep. Emang yg ngatur rezeki tu tuha"
negative,Ini cwenya yg bego apa cwonya yg pinter ya ?! Emg lakinya kaya ?! Atau macho atau apa gitu plus nya ? Kayanya cuma jago gombal ?? atau maennya gesit ?! Ulala #ngakakabis
negative, <USERNAME> kamu itu yg bodoh! Ngapain keluarga depok komen org yg gak ada artinya lagi buat mereka??. ..cuma kalian aja yg hidupnya gak bahagia yg suka menghujat orang dan hidup artis ayu terlalu berpengaruh buat kamu!!. Emang dasar kamu benci ayu..klo
negative, <USERNAME> saya mah lihat yg terlihat jelas.. bukan main prasangka kayak elu.elu itu haters kayak dukun...dukun titisan dajjal .. sok Pinter tapi otak kosong?????? sorry ye.. gue bala Nabi Muhammad yg percaya klo udh ditunjukkin 4 saksi Dan bukti.. klo
negative,Mata ku sepet baca koment fans ubul empang ..minggir woy bikin rusuh aja nih jaer amis jijik sumpah.soal enji sm cewek lain ttp aja bala jaer nyampah bikin ribut .
negative,"Ini siapa sih si enji, hartis kah ? Males banget jijik laki model beginian mah gak ada tanggung jwbnya. Ayu bunting di tinggalin anak gak di akuin, skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yg seolah enji kangen anaknya. Najonggg jijik betoll.. Dah deh min gak usah di bahas lagi laki macam begini, hartis aja bukan gak ada panutan yg bisa di ambil  <USERNAME>"
negative," <USERNAME> bego nya lagi pede amat ngomong seolah yg dia bilang paling bener, padahal bukti aja kaga ada. Mau keliatan pinter jatohnya bego??"
negative,Yang pada bilang enji ganteng bebas slingkuh bego kali. Ganteng pala lu bau menyan. Gada ganteng ganteng nya. Kebanyakan gaya kek mantan bini depok nya.
negative,"Sebenarnye cocok enji sama att, sama sama GATEEEEL hahah pantesan si tongtong dipertemukan dgn enji, udh hukum alam klw jodoh kita cerminan diri kita, nah si entong hrsnya bekaca dgn masa lalu biar sadar tp teryata otak 1 M tetep mau di pertahankan jd skrg mlh menjadi jadi guatelnye, sama aja kek enji, hah"
negative," <USERNAME> oalaahhh,, semakin banyak aja pelakor ?? laki nya jg kegatelan, tp namanya laki ibarat kucing di ksh ikan jaer gratis ya kga nolak wkwkkwkw"
negative,"Begitulah laki2 ya sis, lebih suka pecun2 murahan, daripada prempuan baik2 berjilbab ato pintar. Enji2, kok downgrade sih? Dari pedangdut naik kelas prempuan berjilbab ehh milih sama pecun lagi.. jeleknya seleramu"
negative,Motorninja aj songong amat mba org yg punya mobil lamborgini aj biasa wae kok ????????
negative,GoBlOk ?????? gua nonton berkali² kaget juga ??
negative,"Ga usa pake anjing, babi!! ?????? kalo gw bls gitu wkwk"
negative,Oh ini toh yang kemaren TIDAK MENGHARGAI KARYA ORANG DAN SEENAKNYA BILANG JELEK BANGET... Aduh itu penganten perempuan nya KEKENYANGAN yah... Ampe kembung gitu perut nya... #pepuraLuGU
negative,"Dari awal percaya gimik Raffi gigi dn att...sehingga att peserta keluarga di hujad dn anak ny...di hujad ...semakin kesini penonton semakin di bodohin?? semakin publik tertuju mereka ??????yg kasihan para penghujad ....ga apa"" lah ayu ga ada di pesbukers biar dia ngeluarkn album"" baru single baru setelah para artis halan"" keluar nengri gimik"" apa lagi yoo"
negative,"Kalo bener gimmick, bodoh banget si ayu cuma demi rating n popularitas berani taruhin harga dirinya buat di nilai buruk oleh mata masyarakat ????"
negative,Susah otaknya diemvang mah bikin rusuh dilapak orang
negative,najiiisss kayak si mba dese ga gitu ajaaa. hahahahaha maling teriak maling. ngaca buuuuuk
negative, <USERNAME> IYAK KAA HAHAHAHAH geli bgt gasih sama att ih kampung abis:(((
negative,"JOGETNYA BIKIN NGAKAKKK ANJIRRRR, KAMPUNGAN BANGET??????  <USERNAME>  <USERNAME>"
negative,Bagus la gue berarti ada otak gak kayak lu malu maluin mak lu aja tong akun asli di pake tu yg namanya bego!  <USERNAME>
negative,"Yg bego mah elu, ibu mana sih yg mau ngasih contoh buruk ke anaknya , pake mata lo, emg ada di dugem bawa anak , bego sih -_- jaman udah texas , dan gue jamin dijaman anaknya jga pasti udh lebih texas . Selagi ga ngerugiin lo yaudah . Sewot banget ."
negative,"Si wanita jahiliyah.. Lesbi , skrg udh py pacar lg. Kasian anaknya. Kmrn di ksh bencana slnya dia tega misahin anak dr bapak nya, dia ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anaknya memeluk islam. Udh di ksh nikmat anak 3 org, msh aja begajulan."
negative, <USERNAME> gw tanya. Emang kador artis beneran? Komen lo tolol sumpah. Masa harus kenal dia buat nilai dia artis atau bukan. Hahaha semua org indo jg pasti setuju kalo kador bukan artis tp cuma celebgram dr kampung. Lo tau kan bedanya artis dg selebgra
negative, <USERNAME> hahahaaaa trs gue tanya. Lo tolol? PAke nanya kador bencong atau ngga padahal blm kenal wkwkwkwkw. Eh semua org jg bisa nilai si kador bencong beneran dr gerak gerik melambay suara ngondek dan pake baju cewek begitu nyaman. Mana ada cowok tu
negative," <USERNAME> maklumin shaaay... Fans gatis keras itu otaknya bebel, realita seperti apa jg ga bakalan dia terima... Seperti halnya nagita itu artis uda dr jaman dia kecil eh di bilang numpang tenar ke rapi mamad,pdhl kan yg jadiin si mamad gede y PH n"
negative, <USERNAME>.bee idih najong lu tag2 org! Nimbrung aja kek mujaer lo! Dia ga bakal terkenal klo ga bawa2 nama ayu ting ting sm nagita! Duh bego dipiara! Kesian
negative,"langsung saja bilang siapa yg di maksud, klu gini namanya MUNAFIK!"
negative,"Jedar emg muka 2 kali, didepan baik, dibelakang busuk, mulutnya kek banci cucoklah 2 banci tu"
negative,AMIT AMIT DEH ORANG JAHAT... PENJILAT PEMBOHONG PELAKOR JIJIK BANGET
negative,"Wkwkwkwk... Ya Allah ya Tuhan ku knp lah org2 munafik ni tp sok suci, mulan jamela kan ayu ting2 ngikuti jejak a bukan? Wkwkwk  <USERNAME>"
negative,"Dlu si pelakor ini yg sombong krn brhasil dapetin si botak smpe mnceraikan bunda maya,skrg hdp ny mkin anjlok malah bunda maya yg sring jelong2 kluarnegri..??????"
negative,Hahhahaha dan sesungguhnya allah swt melaknat wanita perebut dan pezina dengan suami sah oranglain ????????
negative,"@w.lina2706 hemmmm capekmiskin sist, skrg blik kere lg jd artis jg g laku, dah lah karma tu pasti ada...  <USERNAME> dr pada sirik nyinyirin nyonya, tuh bantuin jualan cireng nya tuh, cilok nya tuh untunnya buat liburan monaco, jangan bromo trus"
negative,Kepo juga sm nyonyiah lu jongos  <USERNAME> emng tetehlu pas hamil peak udeh dinikahin ?? Brojol anak br di sirih EMNG LONTEEEEE kelas akun jamahliur dan junjungan hehe ??????
