sentimen,komentar
negative,usernamewawan zzzzz emng artis ga tmn dikit dikit att hahaha curhat sosmed kampung
negative,lemes ya mulut berani ststus udah gitu tulis sengaja biar ga baca takut kali labrak mmmm artis kampung sih ya wajar ya
negative,username main main jawa timur biar ga begok
negative,username nya ngatain org nyindir netijen goblog banyak masyako
negative,username udah nunjukin karya situ pny karya karya nyinyir hidup via tolol
negative,username bilang gw fansnya via duh nantangin gw nih org anak tolol ank alay jablay
negative,username yutub ya mba aplikasi ya sy tau youtube mba gak tau ya seseorg bs dpt hasil salah satu dr youtube loh mreka jg bayar klo bnyk yg ntn video mreka sekolah yg bener deh mba biar pinter generasi muda
negative,gue suka gangerti deh yaa kalo via vallen bikin status apa sangkut pautin ama att mulu att nya aja aja fansnya sih yg bikin jelek orang kalo sangkut pautin mulu jg lama gerah kali
negative,jujur aja ya ni org bagus kaga oplasada tu foto sblm dn oplasdioplas muka anehkyknya gagal oplasnya
negative,noraaak abiiis kebel emas az pamer aplg main berlian ciiinnnnn
negative,before and after pasca oplas ga ngefek ya tetep jelek n rem mukanyaahahahhaha
negative,salfok muka sumpah jelek oplas model failed
negative,norak bener gaet jahat
negative,najisapalagi d philipine bgt kalid aj banggajd usak moral ko bangganajis banget liatnyackp d aj komen nydia pngn ngetop lwt nitezerrrewkwkwkngarep laku
negative,gua bingung jujur media rebut ngeliput orang kayak cuman net doang media informasi waras
negative,jedun yg ga becus perempuan hormat ga becus perempuan cerdas ga becus perempuan yg cari suami sah suami orang ga becus perempuan yg hindar narkoba ga becus perempuan yg jaga nama keluarga moga perempuan yg kayak dunia ya jedun
negative,cewe yg bgni yg hrsnya gosong jd abu aja bakar pabrik yg lg viral kmrn tu bnr slain ga brguna gda otak cm modal ngangkang trs gebet laki org trs bangga btw klo emg instastory nya nyindir bin tua mah ehhh at least biar ga becus jd prewi tp becus cuii jd emak bukti anak nya bejibun trs smua pro emaknya drpd bapak
negative,hahahakasian yagak becus peremharus ngerebut laki orang biar kata perempuan dasar perempuan sadar ente cuy
negative,dasar artis abal abal enggk laku layar kacaudh enggk duit kere miskinjadi maen k dukun elmu pelet rebut suami org yg kaya
negative,ih becus makrum becus ngrebut suami orang hehe
negative,eeee si lacur situ becus jd brempuan emang becus sampah sih iya edeuuuuuh lonte lonte
negative,biarinpuas puasin mumpung deseu brasa muda ntar klo dah tua nyaho karma
negative,anak perempuan lho contohin jelek anak becus perempuan amit amit
negative,kaya becus aja jd permpuan yng g becus jd perempuan ko suka sm laki orng heheh
negative,yg gk becus tuh loh jedunhidup nya bisa ngerusak kbhgiaan org hidup serba mewah tp g krja mlh morotin laki orgkarma psti akn mnghampirimu
negative,gue gak suka sm ni orang idupnya banyak ribut
negative,dasar artis abal abal enggk laku layar kacaudh enggk duit kere miskinjadi maen k dukun elmu pelet rebut suami org yg kaya
negative,yg nama ny plagiat ya plagiat laku tp tetep ajah cipta dri hasil plagiatwkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah
negative,dasar plagiat ga kreatipmemalukab bgt
negative,bego bilang apa yaaa lirik aja cinta gitu lagu bener tolol si ayu gapunya kuping y orang yg dipermasalahin nada
negative,pacar anggel pietrs kali cowok bocah username yaelah jes terxta laku mu aja sprti ayuting hidup penuh drama murah
negative,japok gateeel emanguda main si mamadsampe si jessica dimusuhindeddy corbuzier aja jijik si japok semenjak nagita undang hitam putih nagita cerita panggungitu aja sih gue
negative,username malu buk ngomong pelakor emang ibuk udah pelakor ya tau ayu pelakor wkwkwkwkwk awas rumah tangga yg dimasukin pelakor anak pelakor
negative,kerdus mulut busukjangan sampah makan
negative,username tai loe gedein bagus pupuk jngan bacot loe goblok nih cewek knpa bawa suku
negative,elo artis papan blenyek aja belagu artis kga populer sekalu hahaha
negative,anang muka nya kaya babiii gitu aja demenin jijikk
negative,ga suka ayu ting ting ga parah ngejudge nya hati otak manusia kurang lebih asa enak nya menjudge orang kaya udah sempurna aja lo username
negative,ga pantes panggil ustadorg munafik ceramah org laku sndr aja menzolimi istri sah nya dgn poligami diamkacian istri pertamanyaga tw malu istri hadeh klo yg msh manggil bwt ceramah nama bodo
negative,biadab klo anak lo bully gue mampusin ya
negative,dasar anjing tuh cowok org berani cowok one by one yg lemah dasar yah cowok jaman skrg casing doank cowok nyali nya banci
negative,username iya kasi si micin usah produk micin iklan kalo masak tambah micin biar sedap netizen sudut mecin bodoh orang yg ganggu jiwa ngemil micin  justiceformicin
negative,wahh jngn vidio lamakok baju norak bngtt ayuuterlihat murahaan
negative,username bego lo ya
negative,edit banget ya ampun si mommy lambe habis gosib ya si pelakor
negative,yah admin nya golong konsumsi mecin pil pcc otak lu rusak min
negative,org govlok yg prcya ayu slgkuh sma rafibuktinya rafi sma gigi skrg baek ajadan ktamu ayu pelakor suami yg d rebut woyy skrg ayu suami fikir pke otak mkanya jgn kbanyakan micin jdi govlok
negative,username hoy baris sakit hati jijikk banget fans billy mah alhamdulillah bgt billy putus manusiaa buluk ituu yg tunggu akhiry putus kobil jg jijik ni orang v
negative,mba username gak ngerasa cinlok babang anthony ketemu mana sih set boy alah ngaku ajaaa mba dumang cinlok sok bilang gak cinlok nama bodoh wajar netizen bilang ratu cinlok nyata emang ya marah resiko artis hahahhaa pinter ya mba cari alas hahahahaha
negative,username noh urus tu kuin lu biar ga gatel nempel ama laki orng masyarakat udh tau kali japok gundik janda gateludh nyata nya begtu anak sholehah agama nya kuat mata kuliah agama cma dpt 1katanya agama nya kuat tpi hamil
negative,username bilang tu kuin lu gesek grepe ama lakik orng ga malu udh hamil nikah kegatelan janda
negative,username please lo bela pelakorini hukum si muljem karna uda tega recut suami sahabat sendiridia jalan sanksi sosial valakor mesti benci karna biar ga valakor indonesiabiar musnah sem
negative,najis muakk jijik pelakor jijik
negative,moga pelakor kena karma moga karma yg tinggal istri yg bwrjuang dg dr nol tp sukses selingkuh sok jd kuasa istri ya
negative,sedih ya skrg ngamen kawin org mantan istri mahhhh pesawat jet bhay pelakor n botakbego
negative,username heeehh lo pelakornya yaaaakkk ngapa lo emosi situuu kenal gw kalo berani pake akun asli pantes pake akun bodong ngerebut laki orang diem ceplos yak pake bodong ngakak gueeee lucu lo
negative,wkwkwkwk udh gak laku jd nyanyi dhajatan si lonte pelakor
negative,username wakakak cerita kyk gituu ajar aja jgn sampe ni swamik swamik milih pelakor drpd istri hancuuurr bookk ga bohong deh kere kismin nyungsep emang yg ngatur rezeki tu tuha
negative,cwenya yg bego cwonya yg pinter ya emg laki kaya macho gitu plus nya kaya jago gombal maennya gesit ulala  ngakakabis
negative,username yg bodoh ngapain keluarga depok komen org yg gak aja yg hidup gak bahagia yg suka hujat orang hidup artis ayu pengaruh emang dasar benci ayuklo
negative,username mah lihat yg main prasangka kayak eluelu haters kayak dukundukun titis dajjal sok pinter otak kosong sorry ye gue bala nabi muhammad yg percaya klo udh ditunjukkin 4 saksi bukti klo
negative,mata ku sepet baca koment fans ubul empang minggir woy bikin rusuh aja nih jaer amis jijik sumpahsoal enji sm cewek ttp aja bala jaer nyampah bikin ribut
negative,sih si enji hart kah males banget jijik laki model mah gak tanggung jwbnya ayu bunting tinggalin anak gak akuin skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yg enji kangen anak najonggg jijik betoll dah deh min gak bahas laki hart aja gak panutan yg ambil username
negative,username bego nya pede ngomong yg bilang bener bukti aja kaga liat pinter jatohnya bego
negative,bilang enji ganteng bebas slingkuh bego kali ganteng pala lu bau menyan gada ganteng ganteng nya banyak gaya kek mantan bini depok nya
negative,sebenarnye cocok enji att gateeeel hahah pantesan si tongtong temu dgn enji udh hukum alam klw jodoh cermin si entong hrsnya bekaca dgn biar sadar tp teryata otak 1 m tetep tahan jd skrg mlh guatelnye aja kek enji hah
negative,username oalaahhh aja pelakor laki nya jg kegatelan tp nama laki kucing ksh ikan jaer gratis ya kga nolak wkwkkwkw
negative,laki ya sis suka pecun murah prempuan jilbab ato pintar enji downgrade sih dangdut kelas prempuan jilbab ehh milih pecun jelek selera
negative,motorninja aj songong mba org yg mobil lamborgini aj wae
negative,goblok gua nonton kali kaget
negative,ga usa pake anjing babi kalo gw bls gitu wkwk
negative,oh kemaren harga karya orang bilang jelek banget aduh penganten perempuan nya kenyang yah ampe kembung gitu perut nya  pepuralugu
negative,percaya gimik raffi gigi dn attsehingga att serta keluarga hujad dn anak nydi hujad kesini tonton bodohin publik yg kasihan penghujad ga ayu ga pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
negative,kalo bener gimmick bodoh banget si ayu rating n popularitas berani taruhin harga nilai buruk mata masyarakat
negative,susah otak diemvang mah bikin rusuh lapak orang
negative,najiiisss kayak si mba dese ga gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk
negative,username iyak kaa hahahahah geli bgt gasih att ih kampung abis
negative,joget bikin ngakakkk anjirrrr kampung banget username username
negative,bagus la gue otak gak kayak lu malu maluin mak lu aja tong akun asli pake tu yg nama bego username
negative,yg bego mah elu sih yg ngasih contoh buruk anak pake mata lo emg dugem bawa anak bego sih -- jaman udah texas gue jamin jam anak jga udh texas selagi ga ngerugiin lo yaudah sewot banget
negative,si wanita jahiliyah lesbi skrg udh py pacar lg kasi anak kmrn ksh bencana slnya tega misahin anak dr nya ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anak peluk islam udh ksh nikmat anak 3 org msh aja begajulan
negative,username gw emang kador artis beneran komen lo tolol sumpah kenal nilai artis hahaha org indo jg tuju kalo kador artis tp celebgram dr kampung lo tau beda artis dg selebgra
negative,username hahahaaaa trs gue lo tolol pake nanya kador bencong ngga blm kenal wkwkwkwkw eh org jg nilai si kador bencong beneran dr gerak gerik melambay suara ngondek pake baju cewek nyaman cowok tu
negative,username maklumin shaaay fans gatis keras otak bebel realita jg ga terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamadpdhl yg jadiin si mamad gede y ph n
negative,usernamebee idih najong lu tag org nimbrung aja kek mujaer lo ga kenal klo ga bawa nama ayu ting ting sm nagita duh bego piara kesi
negative,langsung bilang yg maksud klu gin nama munafik
negative,jedar emg muka kali depan belakang busuk mulut kek banci cucoklah banci tu
negative,amit amit deh orang jahat jilat bohong pelakor jijik banget
negative,wkwkwkwk ya allah ya tuhan ku knp org munafik ni tp sok suci mulan jamela ayu ting ngikuti jejak a wkwkwk username
negative,dlu si pelakor yg sombong krn brhasil dapetin si botak smpe mnceraikan bunda mayaskrg hdp ny mkin anjlok bunda maya yg sring jelong kluarnegri
negative,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
negative, wlina706 hemmmm capekmiskin sist skrg blik kere lg jd artis jg g laku dah karma tu username dr sirik nyinyirin nyonya tuh bantuin jual cireng nya tuh cilok nya tuh untun libur monaco bromo trus
negative,kepo sm nyonyiah lu jongos username emng tetehlu pas hamil peak udeh dinikahin brojol anak br sirih emng lonteeeee kelas akun jamahliur junjung hehe
negative,eh jongos cba gue duluan yg nanya sm lu emng nyonyiah gembar gembor udah nikah ada nyonyiah ngaku udeh nikah dr tetehlu yg lonte perek brojol ngaku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji haha lonte tolak lupa xixix username
negative,username gua currr ya bunmai sdh nikah tp janda janda suami nya rampas mulan jameelamenjijikkan banget ya mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang dan suami aduha udh wanita be
negative, wlina706 username lucu aja ya sist lonte bela mati guoblok pelihara bayar gt muljamban sampe bikin account username maia nikah blm nikah urus situ nyinyir sirik nya
negative,yaela muljem kyak stu bner aja gag inget udh ngrusak kbhagian klwrga org bego d prtahanin y gin
negative,lakik doyan banci banci  kawinin banci jijik
negative,username comment yg lihat brp guna medsos yg bodoh bunyi situ sehat pakai hijab mas nyinyir aja
negative,username malu tuh kerudung sayang ibadah nya sholat aja drpd nyinyirin org dandan udh sok suci mulut nya kaya sampah
negative,username tolong baca arti dr comment udah kerdusbodoh lg bilangin org tua nya besok kalo masak pakai mecin jd udah kerdungab ga sesuai mulut besok makan salmon kalo g besok deliv rumah
negative,maaf muka jelek attitude nya burukspesialis plagiatdan tau
negative,orang otak ga sekolahin ya resiko udah upload sosmed ya dapet bincang netizen public figure ga otak
negative,artis kampung wkwk
negative,iyaaa gue pacar udah nikah gak norak eloo gak risih emang jgn aplod perhatiin followers lu yg lumayan tar bawa norak
negative,y ampun pnyanyi dangdut tenar songong bangt bacot pngn nyari sensasi kmpungan bangt deh amit amit bool ko d instastory
negative,waaaaoooosopan bahasami kelas heeeehh yg repot ama hidup lu siapahh elu live nampilin gak pentingyg nggilanikk menjijikkandiliat org ya pantes dikomenklo gak mw dikomen videoin pribadi aja nonton lu ama kluarga lu rmh nambah niy ertong yg gak pny attutude kampung
negative,norak sihkayak ga malunyakl bilang serah diaya udahsimpan fotonyagak bagi semua orang pamer kemanaresikolah nyinyir oranginsecure bangetkudu ya pamer gitu biar orang ngerti kl si mbak udh py pacar yg pamer pantatnyakampung bgt
negative,koq marah sehhhdasar wanita kampung
negative,kampung artis yg numpang tenar gara muka katy perry doang
negative,susah kalo artis kampung
negative,ah min gue gak suka akun nih berita nya basi lo liat min si kellen amora dateng pake jingkrak lo saring min biar berita nya gak blunder lo posting tu kd udah posting videon kellen ma amora joget ma si arsya arsyi
negative,username iyakm bening lewat bening buluk ya mbak mbak nelen apasih komen kaya gin surup
negative,keluarga ngefans kagum lihat username nya dehtapi lihat anak nya yg jelekbuluk usernamehermansyah username kutuk yg timpa bunda kd untung allah swt ganti amora adik nyagemezzzzzzz lihat nya cocok banget anak artis class bunda kd
negative,emang dasar si anak nya aja yg lebayurusan pribadi umbarbiar blow up hadehhgunanya whatsapp sms or telp apasuka aneh
negative,coba liat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo
negative,gagal fokus dengar suara koq jengkel ya dengernya sorry cuman manusia kalo jengkel
negative,muljem ngomong gak blepot gak nyadar idup enak aja pake rebut laki orang
negative,lucu ya si yg bikin katabawa tuhankalau dah pepet ga tau org yg rusak rumah tangga orgibarat roboh bangun masjid mbak nyabayangin aja nya dosa munasi dah jdi bubur mba nya moga bahagia dunia
negative,iyah bener rubah pandang tuhan elu setan mikirrrr suami majikan embat
negative,giling mulan jalang lg kasih ceramah hahahaha dasar cireng gak tau gak ngaca si cireng lg ceramah sok kyk pahlawan siang biar teman ama ter kyk selpii
negative,ya pandang tuhan lo jelek sih gue rebut suami orang tuh mulia mata tuhan
negative,karna sejati kau setan wujud manusia karna kerja setan ya goda manusia
negative,ngga mba username baca netizen yg nyesel ga bs nimpuk telor si mulangw aja ketawa baca krn wakil ya ngapain buang wktu ketemu orang gak mutu dng si mulanmsh untung nyempetin bs nuli biar nyadar tuh pelakor ga harga mending ketemu org spt bunmaiketularan aura positif
negative,editanx paraaaahhoplas aj laaah nyai drpd ngedit gn hahaa kn maluuu
negative,jeleklecekbantet
negative,gin ken tenar ya ampuuunmalu kalo anak yah kasi
negative,heran gw mak username knp aja pake ma anv pesbur ny bederet skandal tubi gk malu ny muka tembok gak faedah ny nonton acara yg si manusia kardus
negative,wey org goblok bedain vape shisha sm rokok lo ngerokok pake acara ga ngaku
negative,jijik liatnyakaya ulet bulu kluget gituhihihiampe sgitunya ken kenal
negative,jablay anjir muka murah bangetttt najisss
negative,usernamealycia iya sist jijik banget gw liat sok suci ngatain orang kalo gw sih malu artis papan otak gak fikir kalo ngomong tau bngt gada wibawa kalo emang nyadar tau komentar manusia gada yg
positive,sabar yaa insya allah buka pintu syurga halang api neraka orang tua
positive,lagu baru mbak tata kisah rumah tangga mbak tata mbak tata bener sayang get suami syukur baik moga awet
positive,yg komen si mbak ga sedih ketawa ya iya klo dah sakit sm pasang smpe larut ngapain sih sedih ampe depresi serahin sm allah ajabawa happy aja mski sakit si mba senyum wajah tp hati tau senyum bs jd menetralisir kondisi hati yg lg puruk pepatah bilang klo bahagia jgn trllu bahagia klo sedih jgn trllu sedih imbang aja biar ga gila
positive,suka banget pasang moga gigi raffi keluarga sakinnah mawaddah warrahmah moga pisah jodoh maut pisah amiin
positive,jemima anak angkat celine eleeya anak hubung celine dirly haru tau jemima anak panti asuh rawat wajar stefen pilih celine karna hati
positive,lucu yg blg stefan menghabiskn muda wkwkumurnya mah gak muda muka aja yg baby face bersyukurbonus celinenya dlu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo yg tnggung jwabnya
positive,yg bawa keenan raisa udah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin jd gue raisa hamish untung pasang suami istri ga tuh gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah
positive,raisa cantik yaaa artis ga tonjol kalo nikah tuh mewah udah cantik sederhana sempurna bgt
positive,karna orang syudah cantik ga dandan heboh utk buat cantik makeup simple gitu aja pesona bikin hamish klepek
positive,bagus cari ilmu mana suami orang didik
positive,sukak cewe cantik kmauan blajarnya
positive,yaampun artis bener bener good attitude layak panutan aja kuliah negri tp karna bakti suami pilih kuliah wilayah suami salut banget
positive,semangat batman username va support karna manusia salah tolong bahas pliis karna udah
positive,username y udh salam knl y mbk neng knl sm mbk sbagai manusia ingetiny sbagai manusia hrs tau jgn sombong yg digedein mentang dah jd artis hahay udh mbk cabut ja y dri komen d foto ni nnt jd korban dy sel
positive,keren yaaa sederhana pancar sukak sm keluarga presiden
positive,presiden embel gelar bangga
positive,proud of you indonesia god bless indonesia
positive,amazing bngt miss national costume kereenn bangga ama budaya indonesia
positive,bangga pasti
positive,proud of you kak dea patut bangga
positive,suka bgt sm pidatox dy pembawaanx bgtu elegan n brwibawah pntas mmg dy mdptkansalut
positive,percaya kak nik orang jujur semangat kak nik hebat
positive,usernamem mba gua jg ga benci nikmir salut ama ga muna artis maaf image aja dpan sok sok aniaya n jual air mata nikita real sygnya msyarakat cendrung yg yg superfisial
positive,cantik alami bedak tebel gaya bak tante
positive,cantik gagah mudah lancar dampe h
positive,cantik dongpenampilannya dewasa sesuai muka cantik indonesiaclassy ayu ayu gimana gitu
positive,lcb cantikk lcb untung dapet duren duren beuntung dpt neng lcb sakina mawaddah warahmah amin
positive,ganteng seragam ganteng panutan keluarga moga anak milik fisik elok mahluk allah ni
positive,untung banget deh mba username dapet mas username gantengbaiksholehsayang keluargaini suami idam bangetsemoga keluarga samawa
positive,smoga mas agus pimpin datangsalah pimpin yg sukses sukses dlm pimpin dlm rumah tangga
positive,dearbpk username cra berpakain bpk cermin pribadi bpk yg sngt lembut tpi gagah moga bpk username  kel dlm lindung allah swt salam hormat dri yg kagum bpk -
positive,sukses kak ayu moga senantiasa naung allah swt sehat amin
positive,smg sehat umur yah nek muda banget cantik mashaallahhh
positive,terimakasih username keluarga pilih plataran darmawangsa acara keluarga staff plataran darmawangsa kes tunggu datang keluarga sehat keluarga amin amin ya rabbi
positive,salam dirgantara terima kasih dukung sebar awareness kait program pesawat r80 moga momen emas titik bangkit industri pesawat terbang indonesia jaya eyang habibie yuk satu langkah terbang pesawat r80 langsung klik link bio yaaa
positive,semangat ya eyang habibie sehat dlm lindung allah ambisi kuat dlm kereeeennnnn moga bnyk turus bangsa sprti eyang habibie
positive,milik cucu kebahagian yg nilai cucu sbg generasi terus bangsa
positive,wahhh kerenn tempat bagus nostalgia bersmaa keluarga
positive,cantik ganteng sehat bu ani keluarga
positive,barakallah cucu yg cantik ganteng moga anak yg sholeh sholeha bangga kelg
positive,bu usernamecucu bikin hati gembirangangenikadang kangen ceria merekasalam kangen cucu cinta
positive,lucu ganteng parah gede pinternya ga ketulungan salam hormat bu
positive,terima kasih sby  ani yg tani beliau  kontribusi yg indonesia 10 memimpinsemoga bahagia  sehat selaluamin
positive,caption ibudan kali baca captionnya langsung ajar bahasa inggris terima kasih personal tdk kenal anie tp betapa bangga anak cucu didik generasi bangsa mandiri unggul sehat moga cinta kasih keluarga engkau tebar
